            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2462788.500000000, A.D. 2030-Oct-14 00:00:00.0000, -1.106653077204606E+00,  1.225920105138168E+00,  5.284081915150671E-02, -9.864351236053073E-03, -8.183783428902068E-03,  7.022832210186481E-05,  9.543339839726541E-03,  1.652378071034896E+00,  5.370810385599274E-04,
2462789.500000000, A.D. 2030-Oct-15 00:00:00.0000, -1.116480976725219E+00,  1.217696163308476E+00,  5.290931227170174E-02, -9.791351982516260E-03, -8.263997282109964E-03,  6.675774152936658E-05,  9.546414878719071E-03,  1.652910497531716E+00,  5.277675641718046E-04,
2462790.500000000, A.D. 2030-Oct-16 00:00:00.0000, -1.126235590215024E+00,  1.209392316991087E+00,  5.297433426764857E-02, -9.717779943311196E-03, -8.343591960245773E-03,  6.328609242215083E-05,  9.549436051849101E-03,  1.653433597443561E+00,  5.184279290954037E-04,
2462791.500000000, A.D. 2030-Oct-17 00:00:00.0000, -1.135916347257037E+00,  1.201009186729634E+00,  5.303588416251016E-02, -9.643639841440952E-03, -8.422564709175646E-03,  5.981355378678435E-05,  9.552403209495271E-03,  1.653947344864293E+00,  5.090626486578681E-04,
2462792.500000000, A.D. 2030-Oct-18 00:00:00.0000, -1.145522682140875E+00,  1.192547395809336E+00,  5.309396115225969E-02, -9.568936390543684E-03, -8.500912805258653E-03,  5.634030322153108E-05,  9.555316204960689E-03,  1.654451714394135E+00,  4.996722322542174E-04,
2462793.500000000, A.D. 2030-Oct-19 00:00:00.0000, -1.155054033853272E+00,  1.184007570231798E+00,  5.314856460484120E-02, -9.493674285829904E-03, -8.578633550297452E-03,  5.286651300856399E-05,  9.558174894457743E-03,  1.654946681137032E+00,  4.902571802886558E-04,
2462794.500000000, A.D. 2030-Oct-20 00:00:00.0000, -1.164509846069312E+00,  1.175390338691342E+00,  5.319969405966354E-02, -9.417858203151048E-03, -8.655724269757484E-03,  4.939234989501230E-05,  9.560979137100164E-03,  1.655432220699283E+00,  4.808179841830012E-04,
2462795.500000000, A.D. 2030-Oct-21 00:00:00.0000, -1.173889567143276E+00,  1.166696332553025E+00,  5.324734922695046E-02, -9.341492805343278E-03, -8.732182308862056E-03,  4.591797832878403E-05,  9.563728794898215E-03,  1.655908309188707E+00,  4.713551330707194E-04,
2462796.500000000, A.D. 2030-Oct-22 00:00:00.0000, -1.183192650098803E+00,  1.157926185831004E+00,  5.329152998675151E-02, -9.264582750762251E-03, -8.808005025585755E-03,  4.244356492563526E-05,  9.566423732749966E-03,  1.656374923213128E+00,  4.618691243563116E-04,
2462797.500000000, A.D. 2030-Oct-23 00:00:00.0000, -1.192418552619516E+00,  1.149080535166210E+00,  5.333223638806995E-02, -9.187132698169656E-03, -8.883189790951242E-03,  3.896928077465502E-05,  9.569063818429183E-03,  1.656832039878285E+00,  4.523604665774253E-04,
2462798.500000000, A.D. 2030-Oct-24 00:00:00.0000, -1.201566737040999E+00,  1.140160019803816E+00,  5.336946864850668E-02, -9.109147303599850E-03, -8.957734000673796E-03,  3.549529907286186E-05,  9.571648922575974E-03,  1.657279636786205E+00,  4.428296686737425E-04,
2462799.500000000, A.D. 2030-Oct-25 00:00:00.0000, -1.210636670343264E+00,  1.131165281571769E+00,  5.340322715407414E-02, -9.030631213659926E-03, -9.031635084456443E-03,  3.202179106135768E-05,  9.574178918691714E-03,  1.657717692034332E+00,  4.332772284894097E-04,
2462800.500000000, A.D. 2030-Oct-26 00:00:00.0000, -1.219627824142274E+00,  1.122096964860531E+00,  5.343351245856205E-02, -8.951589062994030E-03, -9.104890502580756E-03,  2.854892476659852E-05,  9.576653683132774E-03,  1.658146184214435E+00,  4.237036331280285E-04,
2462801.500000000, A.D. 2030-Oct-27 00:00:00.0000, -1.228539674680548E+00,  1.112955716602935E+00,  5.346032528241736E-02, -8.872025474083700E-03, -9.177497735014705E-03,  2.507686548455494E-05,  9.579073095098320E-03,  1.658565092410497E+00,  4.141093659344244E-04,
2462802.500000000, A.D. 2030-Oct-28 00:00:00.0000, -1.237371702818209E+00,  1.103742186253613E+00,  5.348366651172286E-02, -8.791945055306111E-03, -9.249454272713446E-03,  2.160577552315128E-05,  9.581437036616002E-03,  1.658974396196239E+00,  4.044949103386439E-04,
2462803.500000000, A.D. 2030-Oct-29 00:00:00.0000, -1.246123394025346E+00,  1.094457025769037E+00,  5.350353719772604E-02, -8.711352402167942E-03, -9.320757615877964E-03,  1.813581510897559E-05,  9.583745392533623E-03,  1.659374075633678E+00,  3.948607511905087E-04,
2462804.500000000, A.D. 2030-Oct-30 00:00:00.0000, -1.254794238375091E+00,  1.085100889589149E+00,  5.351993855668948E-02, -8.630252106646290E-03, -9.391405279066118E-03,  1.466714651972107E-05,  9.585998050518005E-03,  1.659764111272924E+00,  3.852073778288801E-04,
2462805.500000000, A.D. 2030-Oct-31 00:00:00.0000, -1.263383730536265E+00,  1.075674434619745E+00,  5.353287196950690E-02, -8.548648765646698E-03, -9.461394799308357E-03,  1.119993724199071E-05,  9.588194901052555E-03,  1.660144484151769E+00,  3.755352849614976E-04,
2462806.500000000, A.D. 2030-Nov-01 00:00:00.0000, -1.271891369765450E+00,  1.066178320214052E+00,  5.354233898092089E-02, -8.466546976642090E-03, -9.530723739509660E-03,  7.734357241234430E-06,  9.590335837426977E-03,  1.660515175793897E+00,  3.658449671060703E-04,
2462807.500000000, A.D. 2030-Nov-02 00:00:00.0000, -1.280316659899444E+00,  1.056613208153531E+00,  5.354834129875530E-02, -8.383951325703102E-03, -9.599389685350741E-03,  4.270573331274203E-06,  9.592420755723663E-03,  1.660876168206533E+00,  3.561369112101557E-04,
2462808.500000000, A.D. 2030-Nov-03 00:00:00.0000, -1.288659109348646E+00,  1.046979762629509E+00,  5.355088079350247E-02, -8.300866381326294E-03, -9.667390242438444E-03,  8.087465063059740E-07,  9.594449554809372E-03,  1.661227443878998E+00,  3.464115932560419E-04,
2462809.500000000, A.D. 2030-Nov-04 00:00:00.0000, -1.296918231090585E+00,  1.037278650226578E+00,  5.354995949797232E-02, -8.217296697554801E-03, -9.734723033911883E-03, -2.650966437066560E-06,  9.596422136332180E-03,  1.661568985782184E+00,  3.366694816976895E-04,
2462810.500000000, A.D. 2030-Nov-05 00:00:00.0000, -1.305093542662734E+00,  1.027510539906939E+00,  5.354557960658680E-02, -8.133246821274734E-03, -9.801385693757421E-03, -6.108409119120980E-06,  9.598338404716293E-03,  1.661900777367656E+00,  3.269110469114871E-04,
2462811.500000000, A.D. 2030-Nov-06 00:00:00.0000, -1.313184566155224E+00,  1.017676102994287E+00,  5.353774347451684E-02, -8.048721298566194E-03, -9.867375860447896E-03, -9.563422177466077E-06,  9.600198267152334E-03,  1.662222802565970E+00,  3.171367696703538E-04,
